flight_number,date,booster_version,launch_site,payload,payload_mass_kg,orbit,customer,launch_outcome,booster_landing,launch_year,launch_site_code,success_flag
358.0,2024-08-02 05:01:00,F9 B5 B1078‑12,"Kennedy, LC‑39A",Starlink: Group 10-6 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,KL,1
358.0,,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,,Lo2Svmsta2k(moaaio5teic,0
359.0,2024-08-04 07:24:00,F9 B5 B1082‑6,"Vandenberg, SLC‑4E",Starlink: Group 11-1 (23 satellites),17100.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
359.0,,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,,Lo2Svmsta5k(moaaio5teic,0
360.0,2024-08-04 15:02:00,F9 B5 B1080‑10,"Cape Canaveral, SLC‑40",CRS NG-21,3857.0,LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1),2024.0,CCS,1
360.0,,"Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",0.0,"Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,"SotlNGafSwarrsidfiArUECcsnihoFR""SEfwsnssaalcailcbiosfmwlpr",0
361.0,2024-08-10 12:50:00,F9 B5 B1067‑21,"Cape Canaveral, SLC‑40",Starlink: Group 8-3 (21 satellites),16500.0,LEO,SpaceX,Success,Success (JRTI),2024.0,CCS,1
361.0,,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",21.0,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,Lo2Svmsi1wdcta5k(moaaio5teic,0
362.0,2024-08-12 02:02:00,F9 B5 B1061‑22,"Vandenberg, SLC‑4E",ASBM 1 (GX 10A) & ASBM 2 (GX 10B),7230.0,Molniya,Space Norway,Success,Success (OCISLY),2024.0,VS,1
362.0,,"Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.",150.0,"Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[150] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[151][152][153] Second booster to fly for the 22nd time.",,SNltsbbIftASBM(siheMto(4k(mp8k(m6itpccthlnsbgsSbtfft2t,0
363.0,2024-08-12 10:37:00,F9 B5 B1073‑17,"Kennedy, LC‑39A",Starlink: Group 10-7 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,KL,1
363.0,,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,,Lo2Svmsta2k(moaaio5teic,0
364.0,2024-08-15 13:00:00,F9 B5 B1076‑16,"Cape Canaveral, SLC‑40",WorldView Legion 3 & 4,1500.0,LEO,Maxar Technologies,Success,Success (LZ‑1),2024.0,CCS,1
364.0,,Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],100.0,Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],Maxar Technologies built satellites.[100][156],,MTbs,0
365.0,2024-08-16 18:56:00,F9 B5 B1075‑12,"Vandenberg, SLC-4E",Transporter-11 (116 payload smallsat rideshare),0.0,SSO,Various,Success,Success (LZ‑4),2024.0,VS,1
365.0,,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,68.0,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[68] Fifth time a second stage featured Falcon medium coast mission-extension kit.,,DSRmtsoFtassfFmcmk,0
366.0,2024-08-20 13:20:00,F9 B5 B1085‑1,"Cape Canaveral, SLC‑40",Starlink: Group 10-5 (23 satellites),16700.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
366.0,,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,,Lo2Svmsta2k(moaaio5teic,0
367.0,2024-08-28 07:48:00,F9 B5 B1062‑23,"Cape Canaveral, SLC‑40",Starlink: Group 8-6 (21 satellites),16700.0,LEO,SpaceX,Success,Failure (ASOG),2024.0,CCS,1
367.0,,"Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]",21.0,"Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[160] The FAA required SpaceX to investigate the landing failure.[161][162] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[163]",,Lo2Svmi1wdcta5k(moaaio5teicTbwmi2fanrTbcfdttitoawdTmtflfiotyeaso2slatffotASoGpTFrStitlfOA3tFatrfStrF9tl,0
368.0,2024-08-31 07:43:00,F9 B5 B1069‑18,"Cape Canaveral, SLC‑40",Starlink: Group 8-10 (21 satellites),16700.0,LEO,SpaceX,Success,Success (JRTI),2024.0,CCS,1
368.0,,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",21.0,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,Lo2Svmsi1wdcta5k(moaaio5teic,0
369.0,2024-08-31 08:48:00,F9 B5 B1081‑9,"Vandenberg, SLC-4E",Starlink: Group 9-5 (21 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
369.0,,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.",21.0,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.",,Lo2Svmsi1wdcta5k(moaaio5teicNrfttbmfdpl1ha5matpf,0
370.0,2024-09-05 15:33:00,F9 B5 B1077‑15,"Cape Canaveral, SLC‑40",Starlink: Group 8-11 (21 satellites),16700.0,LEO,SpaceX,Success,Success (JRTI),2024.0,CCS,1
370.0,,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",21.0,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,Lo2Svmsi1wdcta5k(moaaio5teic,0
371.0,2024-09-06 03:20:00,F9 B5 B1063‑20,"Vandenberg, SLC‑4E",NROL-113 (21 Starshield satellites),0.0,LEO,NRO,Success,Success (OCISLY),2024.0,VS,1
371.0,,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,21.0,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,,Lo2Sst7ioTloSGSsftNROLmt1slotOCISLYd,0
372.0,2024-09-10 09:23:00,F9 B5 B1083‑4,"Kennedy, LC‑39A",Polaris Dawn (Crew Dragon C207-3 Resilience),13000.0,LEO,Polaris Program,Success,Success (JRTI),2024.0,KL,1
372.0,,"First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[169] The mission was also the first test of Dragon's laser interlink communication via Starlink.[170] Resilience has been modified extensively for this mission.[171]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[169] The mission was also the first test of Dragon's laser interlink communication via Starlink.[170] Resilience has been modified extensively for this mission.[171]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[169] The mission was also the first test of Dragon's laser interlink communication via Starlink.[170] Resilience has been modified extensively for this mission.[171]",0.0,"First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[169] The mission was also the first test of Dragon's laser interlink communication via Starlink.[170] Resilience has been modified extensively for this mission.[171]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[169] The mission was also the first test of Dragon's laser interlink communication via Starlink.[170] Resilience has been modified extensively for this mission.[171]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[169] The mission was also the first test of Dragon's laser interlink communication via Starlink.[170] Resilience has been modified extensively for this mission.[171]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[169] The mission was also the first test of Dragon's laser interlink communication via Starlink.[170] Resilience has been modified extensively for this mission.[171]",,FotCDmftPPTrlCDwJISPSGaAMiaeoraao1k(mtfahbfEsNApDtfmIaGptfcsTmwatftoDlicvSRhbmeftm,0
373.0,2024-09-12 08:52:00,F9 B5 B1078‑13,"Cape Canaveral, SLC‑40",BlueBird Block 1 (5 satellites)[173],7500.0,LEO,AST SpaceMobile,Success,Success (LZ‑1),2024.0,CCS,1
373.0,,"Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.",1500.0,"Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.",,CbcEsiassawti1(lB3paha6(sfpaa,0
374.0,2024-09-13 01:45:00,F9 B5 B1071‑18,"Vandenberg, SLC-4E",Starlink: Group 9-6 (21 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
374.0,,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",21.0,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,Lo2Svmsi1wdcta5k(moaaio5teic,0
375.0,2024-09-17 22:50:00,F9 B5 B1067‑22,"Cape Canaveral, SLC‑40",Galileo-L13 (FOC FM26 & FM32),1600.0,MEO,ESA,Success,Success (JRTI),2024.0,CCS,1
